job_id;job_title;job_industry_category
408;Account Representative IV;IT
409;Help Desk Technician;n/a
410;Quality Engineer;Retail
411;Media Manager IV;Financial Services
412;Safety Technician II;IT
413;Accountant III;Financial Services
414;Account Representative III;n/a
415;Marketing Manager;IT
416;Analog Circuit Design manager;Financial Services
417;Web Designer IV;n/a
418;Assistant Manager;Financial Services
419;Business Systems Development Analyst;n/a
420;Environmental Specialist;Argiculture
421;Analyst Programmer;Retail
422;Business Systems Development Analyst;Financial Services
423;Speech Pathologist;Financial Services
424;Media Manager II;Health
425;Budget/Accounting Analyst II;Manufacturing
426;Web Developer IV;Argiculture
427;Software Consultant;IT
428;Community Outreach Specialist;Entertainment
429;Accounting Assistant IV;Manufacturing
430;Staff Accountant III;Health
431;Accounting Assistant III;IT
432;Professor;Manufacturing
433;Programmer I;IT
434;Account Coordinator;Manufacturing
435;Geologist IV;n/a
436;Technical Writer;n/a
437;Safety Technician I;n/a
438;Biostatistician III;Health
439;Software Test Engineer IV;Health
440;Account Representative III;Health
441;Analog Circuit Design manager;Manufacturing
442;Product Engineer;Manufacturing
443;Internal Auditor;Manufacturing
444;VP Quality Control;Manufacturing
445;Research Assistant IV;Retail
446;Safety Technician II;n/a
447;Structural Analysis Engineer;IT
448;Developer II;Manufacturing
449;Geologist I;Manufacturing
450;Project Manager;n/a
451;Media Manager I;Retail
452;General Manager;Retail
453;Information Systems Manager;Argiculture
454;Desktop Support Technician;Telecommunications
455;VP Marketing;n/a
456;Account Representative I;Financial Services
457;Structural Engineer;IT
458;Physical Therapy Assistant;IT
459;Recruiter;IT
460;Web Designer IV;Property
461;Statistician IV;Financial Services
462;Accounting Assistant III;Health
463;Accountant IV;Manufacturing
464;Office Assistant II;IT
465;Geologist I;IT
466;Business Systems Development Analyst;Health
467;Staff Scientist;Retail
468;Operator;n/a
469;Biostatistician I;Financial Services
470;Structural Analysis Engineer;Property
471;Budget/Accounting Analyst IV;Entertainment
472;Recruiter;n/a
473;Operator;Financial Services
474;Computer Systems Analyst II;n/a
475;Professor;Telecommunications
476;Help Desk Operator;Retail
477;Human Resources Assistant IV;Manufacturing
478;Technical Writer;Retail
479;Human Resources Manager;n/a
480;Research Associate;Manufacturing
481;Biostatistician IV;Health
482;Budget/Accounting Analyst I;n/a
483;Assistant Professor;Financial Services
484;Structural Engineer;Retail
485;Speech Pathologist;Retail
486;Accountant IV;IT
487;Data Coordiator;Health
488;Administrative Assistant IV;n/a
489;Automation Specialist IV;IT
490;Staff Accountant III;n/a
491;Budget/Accounting Analyst I;Manufacturing
492;Geologist III;Health
493;Programmer I;Manufacturing
494;Office Assistant I;Manufacturing
495;Director of Sales;Manufacturing
496;Project Manager;Financial Services
497;Account Coordinator;Argiculture
498;Assistant Manager;IT
499;Teacher;Telecommunications
500;Business Systems Development Analyst;IT
501;Design Engineer;IT
502;Quality Control Specialist;Telecommunications
503;Nurse;Financial Services
504;Software Test Engineer III;n/a
505;Physical Therapy Assistant;Retail
506;Senior Developer;Property
507;Web Developer I;Health
508;Help Desk Operator;Manufacturing
509;Human Resources Assistant II;Manufacturing
510;Mechanical Systems Engineer;Retail
511;Quality Engineer;IT
512;Statistician I;Financial Services
513;Human Resources Assistant II;Financial Services
514;Budget/Accounting Analyst II;n/a
515;Software Consultant;Property
516;Software Consultant;Telecommunications
517;Help Desk Technician;Property
518;Junior Executive;Financial Services
519;Data Coordiator;Manufacturing
520;Software Test Engineer IV;Manufacturing
521;Account Representative III;Entertainment
522;Associate Professor;Argiculture
523;Recruiter;Telecommunications
524;Engineer IV;Financial Services
525;Web Designer I;Telecommunications
526;Account Representative IV;n/a
527;Executive Secretary;Manufacturing
528;Statistician IV;Property
529;Design Engineer;n/a
530;Product Engineer;Property
531;Computer Systems Analyst II;Telecommunications
532;VP Quality Control;Retail
533;Software Test Engineer I;Health
534;Administrative Assistant IV;Financial Services
535;Software Consultant;Retail
536;Web Developer II;Entertainment
537;Account Coordinator;n/a
538;Quality Engineer;n/a
539;;Entertainment
540;Web Developer IV;Retail
541;Health Coach III;Health
542;Software Test Engineer III;IT
543;Physical Therapy Assistant;Financial Services
544;VP Marketing;Entertainment
545;Executive Secretary;Property
546;Statistician I;Retail
547;Office Assistant IV;Health
548;Environmental Specialist;Health
549;Health Coach II;Entertainment
550;Developer III;n/a
551;VP Product Management;Argiculture
552;VP Marketing;Property
553;Marketing Assistant;Argiculture
554;Speech Pathologist;IT
555;Quality Control Specialist;Health
556;Statistician IV;Retail
557;Executive Secretary;IT
558;Software Engineer IV;n/a
559;Tax Accountant;Argiculture
560;Data Coordiator;IT
561;Media Manager II;n/a
562;Statistician IV;n/a
563;Geologist I;Health
564;Safety Technician I;Retail
565;Junior Executive;Telecommunications
566;VP Marketing;Telecommunications
567;Business Systems Development Analyst;Manufacturing
568;Engineer IV;Health
569;Budget/Accounting Analyst IV;Financial Services
570;Programmer II;IT
571;Accounting Assistant II;n/a
572;Software Test Engineer I;Telecommunications
573;Editor;n/a
574;VP Product Management;Health
575;Account Executive;Property
576;Senior Sales Associate;Manufacturing
577;Software Engineer I;IT
578;GIS Technical Architect;Manufacturing
579;Web Designer IV;Financial Services
580;Human Resources Assistant III;Property
581;Research Assistant II;Retail
582;Geologist I;Entertainment
583;Desktop Support Technician;Property
584;Research Assistant I;Manufacturing
585;Graphic Designer;Retail
586;Assistant Professor;Property
587;Tax Accountant;Property
588;Nurse;Manufacturing
589;Biostatistician I;Property
590;Safety Technician IV;Entertainment
591;Accounting Assistant II;Telecommunications
592;Mechanical Systems Engineer;Manufacturing
593;Staff Accountant I;Financial Services
594;Marketing Assistant;Manufacturing
595;Programmer Analyst III;Entertainment
596;Junior Executive;Entertainment
597;Office Assistant III;Manufacturing
598;Senior Quality Engineer;Manufacturing
599;Administrative Assistant III;n/a
600;Senior Developer;Financial Services
601;Editor;Argiculture
602;Data Coordiator;Financial Services
603;Account Executive;n/a
604;Web Designer III;Manufacturing
605;Budget/Accounting Analyst IV;IT
606;Database Administrator IV;n/a
607;Tax Accountant;Telecommunications
608;Editor;IT
609;Administrative Assistant IV;Telecommunications
610;Office Assistant IV;IT
611;Account Representative I;n/a
612;Help Desk Technician;Retail
613;Research Associate;Health
614;Computer Systems Analyst IV;Retail
615;Computer Systems Analyst IV;Property
616;Design Engineer;Retail
617;Computer Systems Analyst III;Manufacturing
618;Environmental Tech;Health
619;Engineer IV;Manufacturing
620;Human Resources Manager;Financial Services
621;Assistant Professor;Telecommunications
622;Geologist II;Retail
623;Assistant Manager;n/a
624;Senior Editor;Property
625;Environmental Specialist;Financial Services
626;Biostatistician I;Manufacturing
627;Account Coordinator;IT
628;Statistician I;Property
629;Software Engineer II;Telecommunications
630;GIS Technical Architect;Retail
631;Payment Adjustment Coordinator;Health
632;Web Designer II;IT
633;Staff Accountant IV;n/a
634;Statistician I;Manufacturing
635;Junior Executive;Argiculture
636;Safety Technician III;Retail
637;Physical Therapy Assistant;Argiculture
638;Software Engineer I;Property
639;Speech Pathologist;n/a
640;Account Representative IV;Telecommunications
641;Mechanical Systems Engineer;Financial Services
642;Legal Assistant;n/a
643;Senior Quality Engineer;Telecommunications
644;Teacher;Health
645;Engineer II;Argiculture
646;Physical Therapy Assistant;Health
647;Human Resources Manager;IT
648;Media Manager III;n/a
649;Data Coordiator;Property
650;VP Sales;IT
651;Operator;IT
652;Safety Technician IV;Property
653;Media Manager III;Financial Services
654;Administrative Assistant III;Financial Services
655;Human Resources Assistant I;Manufacturing
656;Software Consultant;Financial Services
657;Mechanical Systems Engineer;Property
658;Structural Engineer;Argiculture
659;Database Administrator III;n/a
660;Associate Professor;Health
661;Programmer Analyst II;IT
662;Computer Systems Analyst I;Entertainment
663;Research Associate;Entertainment
664;Administrative Assistant IV;Retail
665;Web Developer III;Manufacturing
666;Account Representative IV;Property
667;Executive Secretary;Argiculture
668;Staff Accountant III;Entertainment
669;Web Designer I;Property
670;Database Administrator I;n/a
671;Associate Professor;Retail
672;Recruiter;Argiculture
673;Geologist IV;IT
674;Physical Therapy Assistant;Manufacturing
675;Software Test Engineer III;Entertainment
676;Administrative Officer;IT
677;Human Resources Manager;Property
678;Nurse Practicioner;Retail
679;Safety Technician III;n/a
680;Desktop Support Technician;Manufacturing
681;Software Engineer III;n/a
682;Professor;Property
683;Developer IV;Health
684;Media Manager II;Retail
685;Senior Developer;n/a
686;Information Systems Manager;Property
687;Safety Technician IV;Financial Services
688;Statistician II;Manufacturing
689;Accountant I;n/a
690;Professor;IT
691;Chief Design Engineer;Financial Services
692;Computer Systems Analyst III;Financial Services
693;Administrative Assistant IV;Health
694;Quality Engineer;Telecommunications
695;Web Designer II;Retail
696;Editor;Health
697;Programmer II;Health
698;Budget/Accounting Analyst I;IT
699;Budget/Accounting Analyst III;IT
700;Account Representative IV;Argiculture
701;Accountant I;Health
702;Product Engineer;Telecommunications
703;Marketing Manager;Property
704;Teacher;Retail
705;Senior Sales Associate;Property
706;Web Developer III;Entertainment
707;Senior Developer;Telecommunications
708;Mechanical Systems Engineer;Argiculture
709;Desktop Support Technician;Argiculture
710;Community Outreach Specialist;Retail
711;Associate Professor;IT
712;Software Consultant;Entertainment
713;Research Associate;IT
714;Research Assistant II;Financial Services
715;Internal Auditor;Entertainment
716;Administrative Assistant I;Argiculture
717;Biostatistician IV;Financial Services
718;Research Assistant II;Health
719;Desktop Support Technician;n/a
720;Software Engineer IV;Manufacturing
721;Accountant I;Financial Services
722;Data Coordiator;n/a
723;Administrative Assistant III;Argiculture
724;Account Representative IV;Financial Services
725;Analog Circuit Design manager;Property
726;Budget/Accounting Analyst IV;Health
727;Budget/Accounting Analyst II;Financial Services
728;Software Test Engineer IV;IT
729;Web Designer IV;Retail
730;Software Test Engineer I;Argiculture
731;Graphic Designer;Entertainment
732;Software Engineer II;IT
733;Web Developer IV;Entertainment
734;Software Consultant;Manufacturing
735;Accountant IV;Financial Services
736;Information Systems Manager;Manufacturing
737;Biostatistician II;Manufacturing
738;Account Representative II;n/a
739;Community Outreach Specialist;n/a
740;VP Product Management;Telecommunications
741;Office Assistant III;n/a
742;Geologist IV;Financial Services
743;Account Coordinator;Health
744;Account Representative I;Manufacturing
745;Quality Control Specialist;n/a
746;Software Consultant;Health
747;Nurse;IT
748;Director of Sales;IT
749;Quality Control Specialist;Retail
750;Administrative Officer;n/a
751;Developer III;Manufacturing
752;Safety Technician II;Financial Services
753;Budget/Accounting Analyst I;Argiculture
754;Technical Writer;IT
755;Research Assistant II;Argiculture
756;Systems Administrator I;Property
757;Staff Accountant II;IT
758;Software Test Engineer I;Manufacturing
759;Senior Sales Associate;n/a
760;Programmer Analyst II;Financial Services
761;Programmer III;Argiculture
762;Software Test Engineer II;n/a
763;Geologist II;Telecommunications
764;Web Developer II;Manufacturing
765;Health Coach II;Manufacturing
766;Human Resources Assistant I;Health
767;Accountant IV;Property
768;Software Engineer II;n/a
769;Biostatistician I;Argiculture
770;Web Designer III;Retail
771;Teacher;IT
772;Product Engineer;Health
773;Computer Systems Analyst I;n/a
774;Web Developer I;Manufacturing
775;Automation Specialist II;n/a
776;Media Manager IV;Manufacturing
777;Accountant I;Manufacturing
778;Staff Accountant IV;Health
779;Programmer II;Financial Services
780;Biostatistician IV;Property
781;Software Test Engineer I;IT
782;Geologist III;n/a
783;Quality Control Specialist;Property
784;VP Marketing;IT
785;VP Sales;Retail
786;Administrative Assistant III;Retail
787;Database Administrator I;Argiculture
788;Statistician II;Financial Services
789;Junior Executive;Retail
790;VP Marketing;Health
791;Human Resources Assistant IV;n/a
792;Senior Editor;Financial Services
793;Office Assistant II;Argiculture
794;Safety Technician IV;Manufacturing
795;Biostatistician IV;n/a
796;Programmer III;Telecommunications
797;Marketing Assistant;IT
798;Structural Analysis Engineer;Financial Services
799;Biostatistician IV;IT
800;Software Test Engineer IV;Property
801;Account Representative II;Health
802;Human Resources Assistant III;Manufacturing
803;Accounting Assistant I;Financial Services
804;Safety Technician III;Argiculture
805;Software Engineer II;Manufacturing
806;Payment Adjustment Coordinator;n/a
807;Office Assistant I;Health
808;Accountant II;IT
809;Help Desk Operator;Telecommunications
810;Programmer I;Financial Services
811;Office Assistant IV;Property
812;Engineer IV;n/a
813;Database Administrator III;Manufacturing
814;Community Outreach Specialist;Property
815;Physical Therapy Assistant;Entertainment
816;Recruiter;Health
817;Help Desk Technician;IT
818;Web Developer III;Health
819;Accountant II;Property
820;Account Executive;IT
821;Programmer Analyst IV;Manufacturing
822;Statistician III;Health
823;Human Resources Assistant II;Property
824;Budget/Accounting Analyst I;Health
825;Staff Accountant II;n/a
826;Programmer Analyst I;Financial Services
827;Editor;Property
828;Web Designer IV;Manufacturing
829;Systems Administrator II;Property
830;General Manager;Argiculture
831;Professor;Health
832;Budget/Accounting Analyst III;Retail
833;Biostatistician II;Entertainment
834;Associate Professor;Property
835;Software Test Engineer III;Manufacturing
836;Marketing Manager;Argiculture
837;Software Engineer I;Manufacturing
838;Administrative Assistant IV;Argiculture
839;Professor;Argiculture
840;Budget/Accounting Analyst IV;Manufacturing
841;Human Resources Assistant II;Health
842;Staff Accountant IV;Telecommunications
843;Human Resources Assistant I;Telecommunications
844;Geologist IV;Retail
845;Computer Systems Analyst I;Property
846;Programmer Analyst I;Retail
847;Computer Systems Analyst II;IT
848;Developer III;Property
849;Web Designer II;Property
850;Research Assistant IV;Health
851;Nurse Practicioner;Argiculture
852;Systems Administrator I;Retail
853;Programmer Analyst I;n/a
854;Executive Secretary;Telecommunications
855;Statistician II;n/a
856;Senior Sales Associate;Retail
857;Nurse;Entertainment
858;Structural Analysis Engineer;Argiculture
859;Web Designer I;Health
860;Programmer I;Argiculture
861;Accounting Assistant III;Retail
862;Operator;Health
863;Nurse Practicioner;Health
864;Technical Writer;Financial Services
865;Web Designer II;Manufacturing
866;Software Engineer III;Property
867;Engineer II;Manufacturing
868;Safety Technician II;Telecommunications
869;Developer IV;IT
870;Media Manager II;Manufacturing
871;Software Test Engineer IV;Entertainment
872;Administrative Assistant I;Entertainment
873;Senior Quality Engineer;Property
874;Administrative Assistant IV;Property
875;Software Test Engineer III;Retail
876;Account Representative I;Retail
877;Accountant III;Retail
878;Software Test Engineer II;Manufacturing
879;Business Systems Development Analyst;Property
880;Teacher;Property
881;Software Engineer II;Financial Services
882;Accounting Assistant I;Property
883;Web Developer III;n/a
884;Developer IV;n/a
885;Engineer III;Health
886;Accountant II;Entertainment
887;Systems Administrator IV;Financial Services
888;Engineer III;Financial Services
889;Software Engineer I;n/a
890;Tax Accountant;Retail
891;Tax Accountant;Financial Services
892;Software Engineer III;Financial Services
893;Marketing Manager;Health
894;Budget/Accounting Analyst III;Health
895;Web Designer I;Financial Services
896;Media Manager III;Property
897;Budget/Accounting Analyst II;Retail
898;Engineer IV;Entertainment
899;Software Engineer I;Financial Services
900;Software Test Engineer I;n/a
901;Statistician III;n/a
902;Engineer II;n/a
903;Project Manager;Telecommunications
904;Media Manager IV;Retail
905;Automation Specialist II;Financial Services
906;Database Administrator III;Property
907;Research Assistant III;Health
908;Account Representative IV;Retail
909;Biostatistician II;Health
910;Systems Administrator I;Entertainment
911;Mechanical Systems Engineer;Health
912;Sales Associate;Retail
913;Quality Engineer;Property
914;Safety Technician III;Health
915;Accountant III;Health
916;Web Developer I;Financial Services
917;Research Assistant III;Financial Services
918;Budget/Accounting Analyst IV;Property
919;Computer Systems Analyst II;Manufacturing
920;Programmer Analyst I;Health
921;Programmer IV;Entertainment
922;Project Manager;IT
923;Geologist III;Financial Services
924;Associate Professor;Entertainment
925;VP Quality Control;IT
926;Office Assistant I;n/a
927;Account Representative I;IT
928;Media Manager III;Telecommunications
929;Assistant Manager;Argiculture
930;Safety Technician IV;n/a
